ed_num,pd_pfx,pd_sufx,pd_ab,pol_div_lat,pol_div_lon,pol_div_lam_x,pol_div_lam_y,site,addr,city,postcode,prov,quality,confidence,pol_loc_lat,pol_loc_lon,lambert_x,lambert_y,euclidean_meter,manhattan_meter,maximum_manhattan_meter
35001,24,0,,43.88988626635973,-79.0226629284986,7248619.146790441,960961.6097138189,Michaëlle Jean P.S.-,180 Williamson Drive East,Ajax,L1Z 0G7,ON,StreetAddress,9,43.89547829867638,-79.02444239571633,7248348.38789136,961554.9594316725,652.2072286541762,864.1086169350892,300785.03022907616
35001,3,0,,43.89703918362523,-79.02644634053523,7248151.457579727,961695.7390580078,Michaëlle Jean P.S.-,180 Williamson Drive East,Ajax,L1Z 0G7,ON,StreetAddress,9,43.89547829867638,-79.02444239571633,7248348.38789136,961554.9594316725,242.07529991871752,337.70993796770927,41436.776163003015
35001,2,0,,43.89636499978657,-79.02775321028444,7248061.5925595965,961599.1334303177,Michaëlle Jean P.S.-,180 Williamson Drive East,Ajax,L1Z 0G7,ON,StreetAddress,9,43.89547829867638,-79.02444239571633,7248348.38789136,961554.9594316725,290.17736727288246,330.9693304083776,59540.44475158772
35001,4,0,A,43.89205137602818,-79.02608331014903,7248294.3589007305,961146.3209212542,Michaëlle Jean P.S.-,180 Williamson Drive East,Ajax,L1Z 0G7,ON,StreetAddress,9,43.89547829867638,-79.02444239571633,7248348.38789136,961554.9594316725,412.1948131954614,462.66750104737,120140.66937679205
35001,1,0,,43.902311850992696,-79.03298916601409,7247504.538042254,962175.0669936542,Michaëlle Jean P.S.-,180 Williamson Drive East,Ajax,L1Z 0G7,ON,StreetAddress,9,43.89547829867638,-79.02444239571633,7248348.38789136,961554.9594316725,1047.1943259313807,1463.9574110875838,775424.579030852
35001,4,0,B,43.89205137602818,-79.02608331014903,7248294.3589007305,961146.3209212542,Michaëlle Jean P.S.-,180 Williamson Drive East,Ajax,L1Z 0G7,ON,StreetAddress,9,43.89547829867638,-79.02444239571633,7248348.38789136,961554.9594316725,412.1948131954614,462.66750104737,120140.66937679205
35001,115,0,,43.84856245601895,-79.05968938496095,7246576.67056073,955749.5205175065,Pickering & Village Seniors Centre-,29 Linton Avenue,Ajax,L1T 3A7,ON,StreetAddress,9,43.855421773374346,-79.05859604901454,7246508.842815284,956531.5442486464,784.9596926710067,849.8514765858417,435692.12989601254
35001,114,0,,43.851109670711395,-79.05055926843878,7247254.702442363,956183.5206295903,Pickering & Village Seniors Centre-,29 Linton Avenue,Ajax,L1T 3A7,ON,StreetAddress,9,43.855421773374346,-79.05859604901454,7246508.842815284,956531.5442486464,823.0595499279834,1093.8832461353159,479013.241529738
35001,113,0,,43.851441013696615,-79.0456716485635,7247641.125056694,956300.9144895005,Pickering & Village Seniors Centre-,29 Linton Avenue,Ajax,L1T 3A7,ON,StreetAddress,9,43.855421773374346,-79.05859604901454,7246508.842815284,956531.5442486464,1155.5315486898025,1362.9120005564764,944166.5640491076
35001,111,0,,43.85585230029823,-79.04455258981632,7247630.915511317,956810.6773250374,Pickering & Village Seniors Centre-,29 Linton Avenue,Ajax,L1T 3A7,ON,StreetAddress,9,43.855421773374346,-79.05859604901454,7246508.842815284,956531.5442486464,1156.270906629652,1401.2057724240003,945375.1859617949
